peak_ac,rms_ac,zero_crossings,spectral_centroid,peak_freq_1,peak_freq_2,peak_freq_3,height,distance
1025.84375,156.12783661854635,85,2263.5382786907057,234.375,781.25,2421.875,10,10
1156.44921875,163.01179428959932,95,2263.552153858791,234.375,2421.875,2812.5,10,10
