sample_index,adc_value
0,853
1,736
2,53
3,0
4,25
5,399
6,280
7,282
8,632
9,648
10,20
11,0
12,0
13,182
14,1111
15,1067
16,315
17,0
18,0
19,159
20,384
21,359
22,320
23,313
24,257
25,78
26,0
27,0
28,214
29,310
30,248
31,194
32,220
33,206
34,108
35,0
36,95
37,339
38,435
39,288
40,59
41,0
42,111
43,210
44,215
45,202
46,179
47,100
48,0
49,0
50,79
51,110
52,21
53,49
54,225
55,325
56,179
57,0
58,7
59,174
60,270
61,256
62,200
63,135
64,65
65,38
66,111
67,217
68,244
69,178
70,96
71,91
72,168
73,233
74,229
75,178
76,128
77,86
78,40
79,29
80,64
81,88
82,75
83,89
84,153
85,214
86,211
87,153
88,114
89,147
90,217
91,252
92,205
93,124
94,86
95,116
96,167
97,208
98,226
99,180
100,83
101,24
102,59
103,151
104,196
105,161
106,114
107,96
108,80
109,64
110,78
111,132
112,171
113,156
114,114
115,93
116,108
117,138
118,156
119,154
120,154
121,165
122,171
123,156
124,123
125,97
126,99
127,131
128,166
129,171
130,136
131,84
132,52
133,59
134,95
135,132
136,148
137,145
138,135
139,129
140,124
141,125
142,138
143,174
144,194
145,180
146,152
147,130
148,123
149,134
150,154
151,166
152,165
153,151
154,130
155,115
156,128
157,166
158,197
159,198
160,176
161,162
162,166
163,181
164,198
165,213
166,219
167,214
168,204
169,193
170,183
171,176
172,171
173,156
174,140
175,136
176,140
177,130
178,116
179,117
180,135
181,137
182,126
183,126
184,140
185,154
186,160
187,156
188,148
189,137
190,134
191,144
192,155
193,163
194,156
195,144
196,137
197,142
198,155
199,167
200,178
201,180
202,167
203,142
204,118
205,119
206,139
207,163
208,167
209,157
210,139
211,127
212,126
213,139
214,160
215,181
216,192
217,190
218,182
219,170
220,163
221,164
222,170
223,176
224,183
225,183
226,175
227,163
228,157
229,160
230,169
231,177
232,181
233,182
234,176
235,170
236,168
237,168
238,162
239,149
240,141
241,145
242,154
243,151
244,135
245,122
246,125
247,149
248,169
249,172
250,160
251,146
252,145
253,156
254,171
255,174
256,161
257,140
258,134
259,143
260,150
261,146
262,141
263,152
264,163
265,156
266,138
267,133
268,142
269,152
270,157
271,153
272,149
273,147
274,151
275,158
276,162
277,160
278,154
279,152
280,160
281,171
282,175
283,171
284,163
285,157
286,158
287,164
288,172
289,174
290,165
291,151
292,144
293,152
294,168
295,169
296,155
297,142
298,146
299,161
300,169
301,164
302,158
303,158
304,157
305,158
306,157
307,156
308,154
309,153
310,155
311,162
312,165
313,163
314,158
315,159
316,159
317,159
318,153
319,151
320,158
321,165
322,160
323,145
324,134
325,137
326,148
327,159
328,163
329,164
330,158
331,151
332,148
333,156
334,165
335,163
336,153
337,140
338,137
339,141
340,146
341,146
342,143
343,140
344,137
345,135
346,133
347,136
348,140
349,145
350,144
351,139
352,138
353,137
354,140
355,145
356,149
357,153
358,153
359,149
360,145
361,144
362,151
363,158
364,159
365,156
366,151
367,147
368,143
369,145
370,149
371,153
372,155
373,152
374,146
375,144
376,148
377,154
378,155
379,156
380,154
381,156
382,151
383,145
384,142
385,143
386,145
387,148
388,147
389,144
390,140
391,140
392,140
393,146
394,154
395,159
396,155
397,149
398,144
399,142
400,145
401,147
402,147
403,144
404,141
405,142
406,144
407,139
408,130
409,126
410,132
411,140
412,139
413,131
414,125
415,126
416,131
417,134
418,136
419,141
420,144
421,143
422,140
423,141
424,147
425,150
426,150
427,146
428,146
429,147
430,148
431,149
432,152
433,152
434,149
435,148
436,152
437,154
438,151
439,148
440,149
441,155
442,158
443,156
444,158
445,160
446,161
447,155
448,150
449,148
450,153
451,157
452,158
453,152
454,144
455,140
456,146
457,151
458,155
459,155
460,157
461,153
462,146
463,143
464,144
465,151
466,154
467,151
468,145
469,141
470,141
471,141
472,143
473,147
474,151
475,151
476,145
477,140
478,142
479,145
480,147
481,148
482,151
483,152
484,148
485,144
486,141
487,146
488,152
489,154
490,150
491,144
492,143
493,145
494,147
495,147
496,145
497,146
498,145
499,143
500,141
501,140
502,143
503,149
504,152
505,154
506,150
507,148
508,150
509,153
510,154
511,151
