sample_index,adc_value
0,1003
1,413
2,0
3,0
4,325
5,400
6,195
7,460
8,755
9,502
10,0
11,0
12,0
13,740
14,1291
15,791
16,0
17,0
18,0
19,331
20,420
21,390
22,342
23,324
24,207
25,19
26,0
27,104
28,336
29,319
30,232
31,214
32,247
33,212
34,94
35,42
36,234
37,431
38,418
39,202
40,33
41,60
42,204
43,260
44,242
45,215
46,174
47,56
48,0
49,40
50,155
51,105
52,25
53,130
54,319
55,322
56,114
57,0
58,105
59,258
60,293
61,250
62,200
63,136
64,71
65,86
66,189
67,274
68,254
69,161
70,100
71,148
72,244
73,275
74,232
75,173
76,136
77,97
78,58
79,66
80,107
81,108
82,93
83,132
84,215
85,260
86,223
87,156
88,142
89,203
90,266
91,263
92,196
93,134
94,129
95,164
96,203
97,241
98,243
99,171
100,74
101,52
102,128
103,210
104,213
105,159
106,128
107,120
108,99
109,86
110,122
111,180
112,197
113,160
114,125
115,126
116,151
117,175
118,179
119,178
120,187
121,201
122,200
123,172
124,134
125,115
126,131
127,171
128,202
129,192
130,143
131,94
132,73
133,92
134,134
135,168
136,177
137,171
138,160
139,153
140,148
141,150
142,175
143,213
144,222
145,199
146,170
147,150
148,149
149,165
150,185
151,197
152,191
153,170
154,146
155,139
156,162
157,208
158,231
159,219
160,196
161,186
162,196
163,214
164,231
165,244
166,246
167,239
168,228
169,215
170,206
171,202
172,193
173,174
174,163
175,168
176,167
177,149
178,137
179,145
180,161
181,158
182,150
183,159
184,175
185,182
186,180
187,177
188,170
189,162
190,165
191,175
192,188
193,189
194,176
195,164
196,163
197,174
198,188
199,196
200,204
201,203
202,185
203,157
204,141
205,153
206,177
207,192
208,191
209,177
210,160
211,148
212,153
213,172
214,195
215,214
216,219
217,213
218,204
219,192
220,188
221,194
222,200
223,206
224,211
225,205
226,194
227,185
228,182
229,187
230,197
231,206
232,211
233,206
234,199
235,194
236,194
237,192
238,184
239,173
240,168
241,175
242,180
243,169
244,151
245,144
246,159
247,184
248,200
249,194
250,179
251,167
252,172
253,190
254,202
255,198
256,178
257,160
258,159
259,172
260,175
261,168
262,170
263,183
264,189
265,175
266,160
267,159
268,171
269,180
270,182
271,179
272,174
273,173
274,176
275,184
276,186
277,183
278,180
279,182
280,192
281,200
282,199
283,193
284,186
285,183
286,187
287,195
288,202
289,197
290,183
291,171
292,170
293,183
294,196
295,192
296,174
297,167
298,176
299,191
300,193
301,187
302,182
303,185
304,186
305,184
306,182
307,180
308,178
309,179
310,184
311,191
312,191
313,187
314,184
315,185
316,185
317,181
318,176
319,179
320,188
321,192
322,182
323,163
324,157
325,165
326,179
327,187
328,189
329,189
330,182
331,174
332,175
333,184
334,192
335,187
336,173
337,164
338,164
339,169
340,171
341,171
342,166
343,166
344,163
345,158
346,159
347,164
348,169
349,169
350,166
351,164
352,162
353,164
354,167
355,172
356,176
357,178
358,177
359,172
360,168
361,172
362,179
363,183
364,183
365,179
366,175
367,171
368,170
369,171
370,176
371,180
372,180
373,174
374,170
375,170
376,177
377,180
378,181
379,180
380,182
381,179
382,176
383,170
384,166
385,168
386,173
387,174
388,170
389,167
390,164
391,165
392,167
393,174
394,181
395,182
396,179
397,171
398,168
399,168
400,170
401,171
402,171
403,167
404,165
405,166
406,167
407,161
408,152
409,152
410,160
411,166
412,160
413,150
414,147
415,153
416,159
417,161
418,160
419,164
420,167
421,167
422,164
423,169
424,174
425,176
426,171
427,170
428,170
429,171
430,173
431,175
432,177
433,176
434,172
435,172
436,176
437,177
438,175
439,173
440,178
441,182
442,182
443,180
444,182
445,185
446,184
447,179
448,174
449,173
450,179
451,183
452,182
453,174
454,168
455,169
456,173
457,178
458,178
459,178
460,179
461,175
462,171
463,169
464,171
465,176
466,175
467,171
468,168
469,169
470,168
471,168
472,168
473,172
474,175
475,172
476,167
477,166
478,171
479,172
480,172
481,172
482,172
483,174
484,173
485,170
486,172
487,176
488,176
489,172
490,169
491,168
492,171
493,176
494,175
495,171
496,166
497,165
498,168
499,169
500,167
501,169
502,172
503,174
504,175
505,173
506,172
507,176
508,182
509,183
510,179
511,172
