sample_index,adc_value
0,1927
1,1292
2,0
3,0
4,0
5,0
6,0
7,0
8,995
9,1552
10,612
11,0
12,0
13,0
14,817
15,1183
16,513
17,0
18,223
19,684
20,707
21,131
22,0
23,229
24,772
25,780
26,288
27,0
28,159
29,529
30,410
31,58
32,32
33,384
34,644
35,481
36,141
37,64
38,281
39,525
40,485
41,214
42,62
43,157
44,311
45,325
46,278
47,314
48,371
49,335
50,173
51,0
52,0
53,0
54,98
55,150
56,100
57,69
58,175
59,297
60,291
61,164
62,75
63,157
64,319
65,353
66,262
67,239
68,326
69,363
70,233
71,51
72,14
73,118
74,180
75,160
76,193
77,272
78,279
79,225
80,210
81,266
82,303
83,258
84,224
85,254
86,256
87,183
88,136
89,181
90,243
91,224
92,154
93,137
94,152
95,134
96,131
97,217
98,338
99,362
100,247
101,107
102,45
103,65
104,129
105,191
106,202
107,140
108,64
109,74
110,181
111,290
112,328
113,307
114,265
115,224
116,177
117,135
118,147
119,219
120,273
121,247
122,168
123,124
124,158
125,218
126,250
127,252
128,232
129,200
130,168
131,166
132,210
133,264
134,271
135,227
136,167
137,132
138,139
139,183
140,237
141,265
142,243
143,185
144,126
145,107
146,142
147,200
148,242
149,245
150,228
151,208
152,187
153,163
154,163
155,195
156,224
157,214
158,174
159,148
160,158
161,189
162,211
163,217
164,223
165,236
166,234
167,203
168,174
169,188
170,232
171,260
172,242
173,199
174,173
175,187
176,222
177,262
178,284
179,266
180,211
181,160
182,155
183,196
184,227
185,208
186,158
187,136
188,148
189,160
190,157
191,160
192,182
193,203
194,201
195,170
196,131
197,117
198,147
199,200
200,241
201,246
202,220
203,187
204,172
205,186
206,226
207,265
208,274
209,256
210,243
211,244
212,251
213,249
214,235
215,234
216,240
217,230
218,209
219,192
220,194
221,201
222,204
223,200
224,197
225,192
226,184
227,187
228,201
229,213
230,208
231,198
232,200
233,219
234,240
235,249
236,249
237,246
238,238
239,224
240,213
241,213
242,226
243,243
244,244
245,232
246,215
247,215
248,233
249,247
250,244
251,233
252,227
253,234
254,238
255,242
256,240
257,231
258,208
259,192
260,197
261,215
262,231
263,232
264,223
265,219
266,220
267,223
268,229
269,221
270,203
271,188
272,185
273,189
274,195
275,203
276,211
277,210
278,194
279,183
280,188
281,209
282,226
283,214
284,191
285,182
286,186
287,188
288,193
289,203
290,205
291,187
292,163
293,166
294,194
295,210
296,200
297,186
298,190
299,202
300,203
301,195
302,194
303,207
304,212
305,203
306,200
307,207
308,216
309,215
310,201
311,187
312,187
313,200
314,200
315,200
316,197
317,193
318,192
319,193
320,198
321,203
322,198
323,194
324,202
325,210
326,205
327,190
328,188
329,200
330,216
331,218
332,210
333,197
334,188
335,184
336,189
337,199
338,210
339,207
340,189
341,180
342,191
343,209
344,214
345,208
346,203
347,198
348,190
349,187
350,194
351,205
352,208
353,203
354,192
355,185
356,191
357,206
358,218
359,221
360,215
361,207
362,203
363,203
364,209
365,220
366,228
367,222
368,211
369,201
370,201
371,206
372,209
373,208
374,203
375,194
376,186
377,187
378,198
379,204
380,200
381,185
382,181
383,194
384,211
385,215
386,213
387,210
388,212
389,219
390,226
391,227
392,228
393,229
394,231
395,230
396,221
397,211
398,213
399,218
400,218
401,213
402,211
403,212
404,212
405,209
406,212
407,219
408,214
409,206
410,200
411,205
412,209
413,208
414,203
415,202
416,195
417,184
418,182
419,192
420,200
421,200
422,192
423,192
424,198
425,201
426,198
427,194
428,191
429,191
430,191
431,190
432,189
433,183
434,176
435,178
436,187
437,194
438,188
439,183
440,182
441,188
442,196
443,195
444,188
445,185
446,183
447,183
448,185
449,189
450,194
451,200
452,197
453,197
454,202
455,206
456,202
457,198
458,199
459,204
460,202
461,194
462,190
463,193
464,193
465,192
466,191
467,192
468,194
469,192
470,190
471,193
472,195
473,199
474,199
475,199
476,198
477,203
478,207
479,205
480,199
481,198
482,201
483,200
484,196
485,196
486,201
487,207
488,210
489,210
490,209
491,209
492,206
493,208
494,212
495,222
496,225
497,215
498,203
499,195
500,198
501,207
502,207
503,202
504,195
505,194
506,193
507,195
508,198
509,201
510,201
511,202
